device_id,area,timestamp,voltage,current,power,energy,temperature,occupancy
ADMIN-01,Administrative Office,2026-08-22 16:43:37,226.6,2.21,500.79,0.1252,26.2,1
CLASS-01,Classroom 1,2026-08-22 16:43:37,231.2,0.37,85.54,0.0214,28.4,0
LAB-01,Computer Laboratory 1,2026-08-22 16:43:37,231.4,3.31,765.93,0.1915,25.6,2
LAB-02,Computer Laboratory 2,2026-08-22 16:43:37,229.9,3.98,915.0,0.2288,25.5,3
LIB-01,Library,2026-08-22 16:43:37,229.2,2.37,543.2,0.1358,24.3,2
ADMIN-01,Administrative Office,2026-08-22 16:58:37,230.1,1.65,379.66,0.2201,26.3,0
CLASS-01,Classroom 1,2026-08-22 16:58:37,231.0,0.56,129.36,0.0537,28.6,0
LAB-01,Computer Laboratory 1,2026-08-22 16:58:37,228.1,3.47,791.51,0.3894,25.7,3
LAB-02,Computer Laboratory 2,2026-08-22 16:58:37,234.1,2.28,533.75,0.3622,25.1,0
LIB-01,Library,2026-08-22 16:58:37,224.3,2.72,610.1,0.2883,24.6,3
ADMIN-01,Administrative Office,2026-08-22 17:13:37,229.6,2.11,484.46,0.3412,24.5,0
CLASS-01,Classroom 1,2026-08-22 17:13:37,230.0,0.32,73.6,0.0721,26.4,0
LAB-01,Computer Laboratory 1,2026-08-22 17:13:37,227.8,4.34,988.65,0.6366,24.5,4
LAB-02,Computer Laboratory 2,2026-08-22 17:13:37,233.2,3.64,848.85,0.5744,24.0,3
LIB-01,Library,2026-08-22 17:13:37,232.0,2.31,535.92,0.4223,23.3,2
ADMIN-01,Administrative Office,2026-08-22 17:28:37,231.8,2.06,477.51,0.4606,24.9,0
CLASS-01,Classroom 1,2026-08-22 17:28:37,228.7,0.48,109.78,0.0995,26.3,0
LAB-01,Computer Laboratory 1,2026-08-22 17:28:37,226.0,3.39,766.14,0.8281,23.6,3
LAB-02,Computer Laboratory 2,2026-08-22 17:28:37,228.0,2.74,624.72,0.7306,23.5,0
LIB-01,Library,2026-08-22 17:28:37,229.5,2.62,601.29,0.5726,23.0,3
ADMIN-01,Administrative Office,2026-08-22 17:43:37,232.5,2.27,527.77,0.5925,24.2,1
CLASS-01,Classroom 1,2026-08-22 17:43:37,229.6,0.34,78.06,0.119,26.4,0
LAB-01,Computer Laboratory 1,2026-08-22 17:43:37,229.7,2.59,594.92,0.9768,23.7,1
LAB-02,Computer Laboratory 2,2026-08-22 17:43:37,230.4,2.53,582.91,0.8763,23.9,1
LIB-01,Library,2026-08-22 17:43:37,235.6,3.52,829.31,0.7799,23.6,5
ADMIN-01,Administrative Office,2026-08-22 17:58:37,225.5,1.96,441.98,0.703,24.4,1
CLASS-01,Classroom 1,2026-08-22 17:58:37,231.0,0.56,129.36,0.1513,26.9,0
LAB-01,Computer Laboratory 1,2026-08-22 17:58:37,229.2,2.38,545.5,1.1132,23.6,0
LAB-02,Computer Laboratory 2,2026-08-22 17:58:37,230.5,3.41,786.0,1.0728,23.6,3
LIB-01,Library,2026-08-22 17:58:37,227.7,2.54,578.36,0.9245,23.7,0
ADMIN-01,Administrative Office,2026-08-22 18:13:37,229.1,0.75,171.82,0.746,24.9,0
